Name,lat,lng
313@Somerset SINGAPORE,1.300898,103.838361
Aperia SINGAPORE,1.3098281,103.8639058
Balestier Hill Shopping Centre SINGAPORE,1.3256181,103.8503963
Bugis Cube SINGAPORE,1.2981918,103.8556572
Bugis Junction SINGAPORE,1.3005871,103.8549433
Bugis+ SINGAPORE,1.2995955,103.8542191
Capitol Piazza SINGAPORE,1.2929876,103.8511619
Cathay Cineleisure Orchard SINGAPORE,1.3015948,103.836414
Clarke Quay Central SINGAPORE,1.2890252,103.8466098
The Centrepoint SINGAPORE,1.3021165,103.839761
City Square Mall SINGAPORE,1.3111877,103.8566675
City Gate Mall SINGAPORE,1.3022965,103.8622714
CityLink Mall SINGAPORE,1.2913085,103.8551998
Far East Plaza SINGAPORE,1.3070854,103.8333034
Funan SINGAPORE,1.291321,103.8500832
Great World City SINGAPORE,1.2936417,103.8319293
HDB Hub SINGAPORE,1.3323583,103.8479611
Holland Village Shopping Mall SINGAPORE,1.3104547,103.7954048
ION Orchard SINGAPORE,1.3039288,103.8319512
Junction 8 SINGAPORE,1.3506808,103.8487631
Knightsbridge SINGAPORE,1.3030644,103.8361853
Liat Towers SINGAPORE,1.3051925,103.8305905
Lucky Plaza SINGAPORE,1.3045456,103.8339449
Marina Bay Sands SINGAPORE,1.2838935,103.8607305
The Shoppes at Marina Bay Sands SINGAPORE,1.2837366,103.8591923
Marina Bay Financial Centre Tower 3 SINGAPORE,1.2790221,103.8544967
Marina Bay Link Mall SINGAPORE,1.2795303,103.8543391
Marina One SINGAPORE,1.2776331,103.8531473
Marina Square SINGAPORE,1.291433,103.8576787
Millenia Walk SINGAPORE,1.2928181,103.8598344
Mustafa Shopping Centre SINGAPORE,1.3097877,103.8555583
Ngee Ann City SINGAPORE,1.3025572,103.834568
Orchard Central SINGAPORE,1.3006295,103.8398742
Orchard Gateway SINGAPORE,1.3009584,103.8389111
Orchard Plaza SINGAPORE,1.3051922,103.8284188
Midpoint Orchard SINGAPORE,1.3015694,103.8386083
Orchard Shopping Centre SINGAPORE,1.3006295,103.8398742
Palais Renaissance SINGAPORE,1.3067391,103.829583
"[""People's Park Centre SINGAPORE"" nan]",1.2857964,103.8440022
"[""People's Park Complex SINGAPORE"" nan]",1.2841977,103.8425488
Plaza Singapura SINGAPORE,1.3005317,103.8452356
Raffles City SINGAPORE,1.2937585,103.8534331
Scotts Square SINGAPORE,1.3058788,103.8329554
Serangoon Plaza SINGAPORE,1.3108938,103.8552309
Shaw House and Centre SINGAPORE,1.3062932,103.8318472
Sim Lim Square SINGAPORE,1.3030433,103.8529208
Singapore Shopping Centre SINGAPORE,1.2980833,103.8440979
The South Beach SINGAPORE,1.2944085,103.8560531
Square 2 SINGAPORE,1.3208322,103.8441474
Suntec City SINGAPORE,1.29503,103.8583026
Tanglin Mall SINGAPORE,1.3050606,103.8238701
Tanjong Pagar Centre SINGAPORE,1.2769938,103.8457765
Tekka Centre SINGAPORE,1.306251,103.850654
The Paragon SINGAPORE,1.3038699,103.8357982
Tiong Bahru Plaza SINGAPORE,1.2864878,103.8271464
The Poiz SINGAPORE,1.3313817,103.868018
Thomson Plaza SINGAPORE,1.3548,103.8308
United Square SINGAPORE,1.3172768,103.8436682
The Kids Learning Mall SINGAPORE,1.3172768,103.8436682
Velocity SINGAPORE,1.3198822,103.8439452
Wheelock Place SINGAPORE,1.3047145,103.8305375
Wisma Atria SINGAPORE,1.303841,103.8330524
Zhongshan Mall SINGAPORE,1.3270618,103.8464431
White Sands SINGAPORE,1.3724166,103.9496584
Downtown East SINGAPORE,1.3776279,103.9546233
Century Square SINGAPORE,1.3523888,103.9438567
Tampines 1 SINGAPORE,1.354212,103.9450352
Tampines Mall SINGAPORE,1.3524936,103.9447179
Our Tampines Hub SINGAPORE,1.3529604,103.9403451
Changi Airport SINGAPORE,1.3644202,103.9915308
Changi City Point SINGAPORE,1.334638,103.9623868
Djitsun Mall Bedok SINGAPORE,1.3262627,103.9294958
Eastpoint Mall SINGAPORE,1.3427145,103.9530415
Bedok Mall SINGAPORE,1.3244894,103.92902
Bedok Point SINGAPORE,1.3244894,103.92902
Paya Lebar Square SINGAPORE,1.3243504,103.8907773
Singapore Post Centre (Singpost Centre) SINGAPORE,1.3189121,103.8945354
PLQ Mall SINGAPORE,1.3175284,103.8928037
KINEX (formerly One KM Mall) SINGAPORE,1.3147221,103.8947554
Katong Shopping Centre SINGAPORE,1.303903,103.9011732
Roxy Square SINGAPORE,1.3039864,103.9043811
112 Katong SINGAPORE,1.3052204,103.905072
Parkway Parade SINGAPORE,1.3013366,103.9052333
City Plaza SINGAPORE,1.3147644,103.893408
Katong Square SINGAPORE,1.3047255,103.9046894
Katong V SINGAPORE,1.3036204,103.9029678
Kallang Wave Mall SINGAPORE,1.3032243,103.8728714
Leisure Park Kallang SINGAPORE,1.3022222,103.8763889
East Village SINGAPORE,1.3318464,103.9463496
Elias Mall SINGAPORE,1.3783052,103.9418722
Loyang Point SINGAPORE,1.3667277,103.9645679
Jewel Changi Airport SINGAPORE,1.3603912,103.989642
888 Plaza SINGAPORE,1.4376669,103.7951408
AMK Hub SINGAPORE,1.36953,103.8484398
Canberra Plaza SINGAPORE,1.443256,103.830463
Causeway Point SINGAPORE,1.4360933,103.7859471
Broadway Plaza SINGAPORE,1.3719492,103.8459995
Djitsun Mall SINGAPORE,1.3728179,103.8476889
Jubilee Square SINGAPORE,1.3717025,103.8476215
Junction 9 SINGAPORE,1.4331427,103.8415583
Marsiling Mall SINGAPORE,1.4335025,103.7798823
Northpoint City SINGAPORE,1.4279686,103.8364152
Sembawang Shopping Centre SINGAPORE,1.4419459,103.8250936
Sun Plaza SINGAPORE,1.4482678,103.8196887
Wisteria Mall SINGAPORE,1.4180753,103.8407518
Woodlands Mart SINGAPORE,1.4460087,103.7978603
Waterway Point SINGAPORE,1.40669,103.9021738
Compass One SINGAPORE,1.3924343,103.8954118
Hougang Mall SINGAPORE,1.3726364,103.8938091
Heartland Mall SINGAPORE,1.359469,103.8851289
NEX SINGAPORE,1.3507723,103.8722585
Greenwich V SINGAPORE,1.3873705,103.8694069
Hougang 1 SINGAPORE,1.3760614,103.8791547
Hougang Green Shopping Mall SINGAPORE,1.3796363,103.8882148
myVillage @ Serangoon SINGAPORE,1.3650699,103.8652075
Oasis Terraces SINGAPORE,1.4023703,103.9132022
Punggol Plaza SINGAPORE,1.394228,103.913016
Rivervale Mall SINGAPORE,1.3919537,103.9047236
Rivervale Plaza SINGAPORE,1.385387,103.9018653
The Seletar Mall SINGAPORE,1.3915208,103.8760834
Buangkok Square SINGAPORE,1.3843301,103.8820829
The Midtown SINGAPORE,1.3704674,103.8951731
Upper Serangoon Shopping Centre SINGAPORE,1.3539953,103.8786621
Beauty World Centre SINGAPORE,1.3423741,103.7762593
Beauty World Plaza SINGAPORE,1.3423741,103.7762593
Bukit Panjang Plaza SINGAPORE,1.3800396,103.7642339
Bukit Timah Plaza SINGAPORE,1.3385566,103.7786133
Fajar Shopping Centre SINGAPORE,1.3838672,103.7705214
Greenridge Shopping Centre SINGAPORE,1.3852904,103.7662349
Hillion Mall SINGAPORE,1.3785171,103.7632971
HillV2 SINGAPORE,1.363354,103.7643204
Junction 10 SINGAPORE,1.3803426,103.7601185
Limbang Shopping Centre SINGAPORE,1.3920246,103.7433749
Lot One SINGAPORE,1.3851169,103.7449142
Rail Mall SINGAPORE,1.3582148,103.7679617
Sunshine Place SINGAPORE,1.3780144,103.739185
Teck Whye Shopping Centre SINGAPORE,1.3800721,103.7524357
West Mall SINGAPORE,1.3500142,103.7491801
Yew Tee Point SINGAPORE,1.39716,103.7468352
Yew Tee Shopping Centre SINGAPORE,1.4014568,103.750954
Yew Tee Square SINGAPORE,1.3980556,103.7469444
Keat Hong Shopping Centre SINGAPORE,1.377307,103.744523
KKH The Retail Mall SINGAPORE,1.3105743,103.8470432
VivoCity SINGAPORE,1.2644032,103.8222071
HarbourFront Centre SINGAPORE,1.2643389,103.8201453
Alexandra Retail Centre SINGAPORE,1.2737935,103.8016048
321 Clementi SINGAPORE,1.311998,103.765014
The Clementi Mall SINGAPORE,1.3149292,103.7642968
IMM SINGAPORE,1.3348154,103.7468395
JCube SINGAPORE,1.33331,103.7401992
Jem SINGAPORE,1.3328303,103.7432656
Westgate SINGAPORE,1.3345013,103.7426077
Jurong Point SINGAPORE,1.3397443,103.7067297
Pioneer Mall SINGAPORE,1.3421413,103.6974182
The Star Vista SINGAPORE,1.3068072,103.7883997
Alexandra Central SINGAPORE,1.2873346,103.8050545
Anchorpoint SINGAPORE,1.2887706,103.8050762
Big Box SINGAPORE,1.3318103,103.7447649
Boon Lay Shopping Centre SINGAPORE,1.3463986,103.7125352
Grantral Mall SINGAPORE,1.3142926,103.7651327
Fairprice Hub SINGAPORE,1.3271936,103.6783344
Gek Poh Shopping Centre SINGAPORE,1.3488852,103.6976313
Rochester Mall SINGAPORE,1.3056024,103.788206
Taman Jurong Shopping Centre SINGAPORE,1.3342811,103.7203739
West Coast Plaza SINGAPORE,1.303632,103.766452
Queensway Shopping Centre SINGAPORE,1.2877846,103.8036027
DUO Galleria SINGAPORE,1.2992641,103.8579913
GR.ID SINGAPORE,1.3001949,103.8492265
TANGS at Tang Plaza SINGAPORE,1.3047955,103.8329225
The Flow @ East Coast SINGAPORE,1.3048951,103.9039944
