Stn Name,Type,Color,Stn No,lat,lng
ADMIRALTY MRT STATION,MRT,RED,NS10,1.440585001,103.8009982
ALJUNIED MRT STATION,MRT,GREEN,EW9,1.316432612,103.882893
ANG MO KIO MRT STATION,MRT,RED,NS16,1.369347304,103.8499283
ANG MO KIO MRT STATION,MRT,RED,NS16,1.369933175,103.8495535
BAKAU LRT STATION,LRT,OTHERS,SE3,1.388092704,103.9054179
BANGKIT LRT STATION,LRT,OTHERS,BP9,1.380017897,103.7726667
BARTLEY MRT STATION,MRT,YELLOW,CC12,1.342828338,103.8797462
BAYFRONT MRT STATION,MRT,BLUE,DT16,1.281873788,103.8590733
BAYFRONT MRT STATION,LRT,OTHERS,CE1,1.281873788,103.8590733
BEAUTY WORLD MRT STATION,MRT,BLUE,DT5,1.341223176,103.77581
BEDOK MRT STATION,MRT,GREEN,EW5,1.323979969,103.9299587
BEDOK NORTH MRT STATION,MRT,BLUE,DT29,1.334742117,103.9179554
BEDOK RESERVOIR MRT STATION,MRT,BLUE,DT30,1.33660783,103.9322077
BENCOOLEN MRT STATION,MRT,BLUE,DT21,1.29886427,103.8503799
BENDEMEER MRT STATION,MRT,BLUE,DT23,1.313672233,103.8629702
BISHAN MRT STATION,MRT,YELLOW,CC15,1.35130868,103.84915
BISHAN MRT STATION,MRT,RED,NS17,1.350838988,103.8481398
BOON KENG MRT STATION,MRT,PURPLE,NE9,1.319395706,103.861679
BOON LAY MRT STATION,MRT,GREEN,EW27,1.338604054,103.7060994
BOTANIC GARDENS MRT STATION,MRT,BLUE,DT9,1.322423979,103.8161362
BOTANIC GARDENS MRT STATION,MRT,YELLOW,CC19,1.322110193,103.8149876
BRADDELL MRT STATION,MRT,RED,NS18,1.340471684,103.8467942
BRAS BASAH MRT STATION,MRT,YELLOW,CC2,1.296861687,103.8506629
BUANGKOK MRT STATION,MRT,PURPLE,NE15,1.382877858,103.8931042
BUGIS MRT STATION,MRT,BLUE,DT14,1.299550746,103.8568623
BUGIS MRT STATION,MRT,GREEN,EW12,1.300465076,103.8557007
BUKIT BATOK MRT STATION,MRT,RED,NS2,1.349034109,103.74959
BUKIT BROWN MRT STATION,MRT,YELLOW,CC18,1.333728882,103.8306903
BUKIT GOMBAK MRT STATION,MRT,RED,NS3,1.358761857,103.7519164
BUKIT PANJANG LRT STATION,LRT,OTHERS,BP6,1.377909898,103.763034
BUKIT PANJANG MRT STATION,MRT,BLUE,DT1,1.379002117,103.7615559
BUONA VISTA MRT STATION,MRT,GREEN,EW21,1.307183467,103.7902028
BUONA VISTA MRT STATION,MRT,YELLOW,CC22,1.306491669,103.7906645
CALDECOTT MRT STATION,MRT,YELLOW,CC17,1.337674508,103.8395281
CASHEW MRT STATION,MRT,BLUE,DT2,1.369369831,103.764714
CHANGI AIRPORT MRT STATION,LRT,OTHERS,CG2,1.357314545,103.9883212
CHENG LIM LRT STATION,LRT,OTHERS,SW1,1.396277631,103.8937792
CHINATOWN MRT STATION,MRT,PURPLE,NE4,1.284359578,103.8434242
CHINATOWN MRT STATION,MRT,BLUE,DT19,1.284748969,103.8444484
CHINESE GARDEN MRT STATION,MRT,GREEN,EW25,1.342352821,103.7326244
CHOA CHU KANG LRT STATION,LRT,OTHERS,BP1,1.38483636,103.7445797
CHOA CHU KANG MRT STATION,MRT,RED,NS4,1.385361693,103.744367
CITY HALL MRT STATION,MRT,GREEN,EW13,1.292936243,103.852581
CITY HALL MRT STATION,MRT,RED,NS25,1.292936243,103.852581
CLARKE QUAY MRT STATION,MRT,PURPLE,NE5,1.288386024,103.8465519
CLEMENTI MRT STATION,MRT,GREEN,EW23,1.314954492,103.7653168
COMMONWEALTH MRT STATION,MRT,GREEN,EW20,1.302438735,103.7983136
COMPASSVALE LRT STATION,LRT,OTHERS,SE1,1.394493046,103.9004726
CORAL EDGE LRT STATION,LRT,OTHERS,PE3,1.393909226,103.9125574
COVE LRT STATION,LRT,OTHERS,PE1,1.399281985,103.9059403
DAKOTA MRT STATION,MRT,YELLOW,CC8,1.281404978,103.839125
DAMAI LRT STATION,LRT,OTHERS,PE7,1.405234836,103.9085809
DHOBY GHAUT MRT STATION,MRT,RED,NS24,1.298701307,103.8461119
DHOBY GHAUT MRT STATION,MRT,PURPLE,NE6,1.299705459,103.8454851
DHOBY GHAUT MRT STATION,MRT,YELLOW,CC1,1.298842816,103.8462358
