address,lat,lng
100 LOR 1 TOA PAYOH,1.339583,103.8484821
116 LOR 2 TOA PAYOH,1.3404772,103.8457645
126 LOR 1 TOA PAYOH,1.3379974,103.8450386
128 LOR 1 TOA PAYOH,1.3379959,103.8444058
96 LOR 3 TOA PAYOH,1.33864,103.8483004
17 LOR 7 TOA PAYOH,1.3363898,103.8563633
85B LOR 4 TOA PAYOH,1.3363419,103.8483275
2 MARSILING DR,1.4399947,103.7765892
15 MARSILING LANE,1.4419798,103.7782831
6 MARSILING DR,1.4420183,103.7762748
17 MARSILING LANE,1.4426402,103.7777532
128 BT MERAH VIEW,1.2826588,103.8233016
129 BT MERAH VIEW,1.2840348,103.8241931
119 BT MERAH VIEW,1.2835678,103.8208789
4 SAGO LANE,1.2817753,103.8429707
34 UPP CROSS ST,1.2857218,103.8427713
28 KELANTAN RD,1.3059994,103.8572918
1 TG PAGAR PLAZA,1.2748632,103.8426344
3 TG PAGAR PLAZA,1.2756426,103.8424563
271 QUEEN ST,1.3010138,103.8537971
533 UPP CROSS ST,1.284485,103.845439
532 UPP CROSS ST,1.284274,103.8461122
264 WATERLOO ST,1.299144,103.852039
185 BOON LAY AVE,1.3465136,103.7109779
186 BOON LAY AVE,1.3457426,103.7112944
208 BOON LAY PL,1.3473196,103.7141227
211 BOON LAY PL,1.3482735,103.7138514
210 BOON LAY PL,1.348168,103.7130822
187 BOON LAY AVE,1.3452524,103.7105477
28 BENDEMEER RD,1.318697,103.863235
76 LOR LIMAU,1.325222,103.854257
77 LOR LIMAU,1.3250142,103.8546356
98 WHAMPOA DR,1.3216896,103.8541849
11 UPP BOON KENG RD,1.3142619,103.8708812
57 GEYLANG BAHRU,1.3234434,103.8690181
68 GEYLANG BAHRU,1.322333,103.8700432
16 UPP BOON KENG RD,1.3155916,103.8718552
2 BEACH RD,1.3039272,103.8650614
32 MARINE CRES,1.3031148,103.9117708
33 MARINE CRES,1.3026741,103.9121333
30 MARINE CRES,1.3042516,103.9111817
67 MARINE DR,1.3043334,103.9096411
160 MEI LING ST,1.2921971,103.8042835
170 STIRLING RD,1.2909829,103.8031003
6 HOLLAND CL,1.3071143,103.7954772
4 HOLLAND CL,1.3079724,103.7957715
9 HOLLAND AVE,1.307704,103.7947075
11 HOLLAND DR,1.3090796,103.794051
12 HOLLAND AVE,1.3095155,103.7945943
13 HOLLAND DR,1.3093758,103.7934172
20 DOVER CRES,1.3067238,103.7835478
53 LOR 5 TOA PAYOH,1.3377393,103.8508373
